id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980328248116992,NxHHGy3Be,1243037810,一和家家,C罗随利雅得胜利开启中国行将与中国球队交手——北京12月18日电(记者邢蕊)17日，2024荣耀巡回赛·利雅得胜利中国行官方社交媒体发布消息称，C罗将带领利雅得胜利队，于明年1月在深圳大运中心体育场进行两场比赛，对手分别为上海申花队和浙江队。相关海报中，C罗处于中间最显眼的位置。,,,,,0,0,0,2023-12-18 15:57,微博网页版,,,,河南
4980328241041736,NxHHG4n0c,2129466035,过客fitness,特林康谈梅罗：他们两个的要求很高，都想要不惜一切赢得比赛#内马尔国家队进球超越罗纳尔多#前巴萨球员特林康接受了BetanoMag采访，谈到了梅罗，据悉完整版采访视频将在周五发布。谈梅西与C罗特林康表示：“我可以说的唯一一件事是，他们两个的要求都非常高。克里斯蒂亚诺-罗纳尔多可能看起来可能要求更严格一些，但他们两个都的要求都非常严格，都想要不惜一切代价赢得比赛。”除了梅西与C罗之外，特林康还特别提到内马尔，并表示是因为内马尔在球场上所做的一切。特林康，现年23岁，德转身价1200万欧元，身高183cm，司职前锋，曾在巴萨与梅西做过队友，在葡萄牙国家队期间也曾与C罗当过队友,,,,内马尔国家队进球超越罗纳尔多,0,0,0,2023-12-18 15:57,前置双摄vivo X9,"['https://wx4.sinaimg.cn/large/7eed12b3gy1hkxzwmv9o0j202k02kq2p.jpg', 'https://wx3.sinaimg.cn/large/7eed12b3gy1hkxzwn6g4kj202k02k0si.jpg', 'https://wx1.sinaimg.cn/large/7eed12b3gy1hkxzwosd7fj202k02kgld.jpg', 'https://wx1.sinaimg.cn/large/7eed12b3gy1hkxzwoh6dzj202k02k3ya.jpg', 'https://wx2.sinaimg.cn/large/7eed12b3gy1hkxzwpnploj202k02k0si.jpg', 'https://wx4.sinaimg.cn/large/7eed12b3gy1hkxzwqgzelj202k02kdfl.jpg', 'https://wx1.sinaimg.cn/large/7eed12b3gy1hkxzwqw7u7j202k02k741.jpg', 'https://wx4.sinaimg.cn/large/7eed12b3gy1hkxzwr8zrjj202k02kjr5.jpg', 'https://wx4.sinaimg.cn/large/7eed12b3gy1hkxzwrlgwzj202k02ka9t.jpg']",,,湖北
4980327240172639,NxHG40IUv,1409125483,水龙吟豆哥,在与里尔的法甲比赛中，姆巴佩在下半场点球破门，打入个人2023年度第50球，连续三年进球50+。比赛第66分钟，姆巴佩主罚点球命中，打入个人2023年第50球，追平哈兰德和C罗，仅次于本轮德甲上演梅开二度的凯恩，后者将个人年度进球数提升至51球。这是姆巴佩连续三年进球达到50球，2021年，姆巴佩打入51球，2022年则打入56球，姆巴佩成为历史上首位连续三年进球50+的法国球员。这也是姆巴佩法甲生涯第180球，升至法甲历史射手榜第八位。,,,,,0,0,0,2023-12-18 15:53,vivo AI智慧拍照X21,"['https://wx4.sinaimg.cn/large/53fd8c6bly1hkxzskzhtsj209s09s0sl.jpg', 'https://wx1.sinaimg.cn/large/53fd8c6bly1hkxzsl6hpmj209s09sq2u.jpg', 'https://wx1.sinaimg.cn/large/53fd8c6bly1hkxzslde65j209s09sdfp.jpg', 'https://wx3.sinaimg.cn/large/53fd8c6bly1hkxzslnh41j209s09sjr9.jpg', 'https://wx2.sinaimg.cn/large/53fd8c6bly1hkxzslvpx3j209s09s0so.jpg', 'https://wx2.sinaimg.cn/large/53fd8c6bly1hkxzsm2issj209s09s748.jpg', 'https://wx1.sinaimg.cn/large/53fd8c6bly1hkxzsm9ndnj209s09sdfs.jpg', 'https://wx4.sinaimg.cn/large/53fd8c6bly1hkxzsmgxhkj209s09swef.jpg', 'https://wx3.sinaimg.cn/large/53fd8c6bly1hkxzsmplflj209s09sgli.jpg']",,,山东
4980326746816964,NxHFgsBp2,6347271490,Laurens_H,#C罗领衔荣耀巡回赛#啥时候去美国踢场球啊，提前熟悉一下美加墨世界杯的环境。,,,,C罗领衔荣耀巡回赛,1,0,0,2023-12-18 15:51,三星Note20 Ultra 5G,,,,辽宁
4980326234850792,NxHErklUA,2621236457,瞄瞄巫,媒体人：C罗1月21日随队抵达深圳，24日踢申花，28日踢九牛世界杯据媒体人徐毅消息，C罗1月21日随队抵达深圳，24日踢申花，28日踢九牛。该媒体人表示：根据独家了解到的C罗中国行行程，C罗和利雅得胜利将在中国待八天，最终行程以主办方官方公布为准。根据计划，明年1月21日，C罗将跟随利雅得胜利抵达深圳，第二天参加训练和欢迎晚宴。1月24日，利雅得胜利将在深圳大运中心体育场迎战中超球队上海申花，1月28日将迎战中超升班马四川九牛。踢完比赛后，利雅得胜利将在当天返回沙特，C罗将就此结束自己的第八次中国行。在活动期间，主办方将举办激光秀、大咖超级秀和无人机秀等活动，其中大咖超级秀计划邀请人气艺人张艺兴、张韶涵、潘玮柏和张碧晨等嘉宾为活动助兴，最终能有哪些艺人参加还未确定,,,,,0,0,0,2023-12-18 15:49,iPhone客户端,"['https://wx3.sinaimg.cn/large/9c3ce4e9gy1hkxzoeujp5j205f05f744.jpg', 'https://wx2.sinaimg.cn/large/9c3ce4e9gy1hkxzoeka3wj205f05fdfr.jpg', 'https://wx1.sinaimg.cn/large/9c3ce4e9gy1hkxzof2flxj205f05fq2r.jpg', 'https://wx4.sinaimg.cn/large/9c3ce4e9gy1hkxzofd8qdj205f05gjr8.jpg', 'https://wx2.sinaimg.cn/large/9c3ce4e9gy1hkxzofm5uwj205f05gdfv.jpg', 'https://wx3.sinaimg.cn/large/9c3ce4e9gy1hkxzog03nmj205f05g749.jpg', 'https://wx3.sinaimg.cn/large/9c3ce4e9gy1hkxzogmw8bj205f05fwef.jpg', 'https://wx4.sinaimg.cn/large/9c3ce4e9gy1hkxzogancbj205f05faa2.jpg', 'https://wx1.sinaimg.cn/large/9c3ce4e9gy1hkxzogxtr3j205f05fjre.jpg']",,,湖北
4980325518149217,NxHDhybYZ,1628741717,巴尔德贝巴斯的Cris丶,C罗#c罗#冬日尤文主场伪涂鸦黑金,,,,c罗,4,0,38,2023-12-18 15:46,C罗超话,"['https://wx1.sinaimg.cn/large/6114a055gy1hkxzku3ac4j21z92bcwva.jpg', 'https://wx3.sinaimg.cn/large/6114a055gy1hkxzkv6if8j235s23udoy.jpg', 'https://wx2.sinaimg.cn/large/6114a055gy1hkxzkvt1ntj22bc1jkn8n.jpg', 'https://wx4.sinaimg.cn/large/6114a055gy1hkxzkwkuc9j227a35strg.jpg', 'https://wx1.sinaimg.cn/large/6114a055gy1hkxzkx6yfkj22bb1irwyi.jpg', 'https://wx4.sinaimg.cn/large/6114a055gy1hkxzkxwdp0j235s23u1jw.jpg', 'https://wx1.sinaimg.cn/large/6114a055gy1hkxzkym6ptj22bc1jkqfo.jpg', 'https://wx2.sinaimg.cn/large/6114a055gy1hkxzkz5w4jj22s01unttm.jpg', 'https://wx1.sinaimg.cn/large/6114a055gy1hkxzkzvrgaj22me35sh49.jpg']",,,贵州
4980325287723453,NxHCUwpdP,7308531888,我爱罗的优雅,#C罗领衔荣耀巡回赛#荣耀100，哈哈😃,,,,C罗领衔荣耀巡回赛,0,0,0,2023-12-18 15:45,OPPO Find X5 Pro,['https://wx4.sinaimg.cn/large/007YBR0Agy1hkxzkjpcm6j31jk0v97ls.jpg'],,,浙江
4980324646259689,NxHBSqgqJ,1767136514,晴天天讲球,英超联赛在对阵斯图加特的德甲联赛中，哈里-凯恩首发出战打进2球完成梅开二度。2023年射手榜，凯恩51球居首，姆巴佩、C罗、哈兰德均突破50球大关，四人将在2023年的最后两周冲击年度射手王。,,,,,0,2,3,2023-12-18 15:43,英超联赛超话,"['https://wx2.sinaimg.cn/large/69545d02gy1hkxzhubn1lj209s09sdfw.jpg', 'https://wx2.sinaimg.cn/large/69545d02gy1hkxzhuljbvj209s09saag.jpg', 'https://wx2.sinaimg.cn/large/69545d02gy1hkxzhuvvq4j209s09sjrg.jpg', 'https://wx4.sinaimg.cn/large/69545d02gy1hkxzhv740qj209s09sweo.jpg', 'https://wx1.sinaimg.cn/large/69545d02gy1hkxzhvfvi0j209s09s3z2.jpg', 'https://wx3.sinaimg.cn/large/69545d02gy1hkxzhvr3bdj209s09st8y.jpg', 'https://wx4.sinaimg.cn/large/69545d02gy1hkxzhw022pj209s09smx8.jpg', 'https://wx4.sinaimg.cn/large/69545d02gy1hkxzhwad8sj209s09smxo.jpg', 'https://wx3.sinaimg.cn/large/69545d02gy1hkxzhwn515j209s09s74d.jpg']",,,湖南
4980322439006954,NxHyjBN7s,6647169113,Lightmare78,天杀的，我要去看c罗和我失之交臂了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我恨你怎么这么早就要开学了啊啊啊啊啊啊啊啊啊啊啊啊啊,,,,,0,1,0,2023-12-18 15:34,💡iPhone 14 Pro Max,,,,广东
4980313136038035,NxHjjpkLF,3858058725,Josirr,阿媒：巴萨愿意花3000万欧签下埃切维里，并希望分期付款#c罗梅西贝尔苏亚雷斯内马尔j罗多特蒙德vs帕德博恩巴黎圣日耳曼vs里尔莱加内斯vs巴塞罗那亚特兰大vs尤文图斯水晶宫vs利物浦阿森纳vs南安普顿ac米兰vs那不勒斯曼城vs切尔西皇家马德里vs皇家社会#据《阿斯报》援引阿根廷电台RadiolaRed消息，巴萨愿意花3000万欧签下埃切维里，并希望分期付款。据报道：巴塞罗那已经向河床俱乐部表示球队有意引进埃切维里，希望进行谈到，并愿意支付3000万欧元转会费，比球员的解约金高出500万欧元。巴萨还表示愿意分期支付转会费，并将球员留在阿根廷直到2024年6月。巴萨希望能抢在皇家马德里、巴黎圣日耳曼、曼城等其他球队前签下球员。埃切维里，现年17岁，德转身价400万欧元，身高171cm，司职中场，本赛季代表河床出场5次，有1脚助攻，代表阿根廷U17参加了U17世界杯。,,,,c罗梅西贝尔苏亚雷斯内马尔j罗多特蒙德 vs帕德博恩 巴黎圣日耳曼vs里尔 莱加内斯vs巴塞罗那 亚特兰大 vs尤文图斯   水晶宫vs利物浦   阿森纳 vs 南安普顿  ac米兰 vs那不勒斯  曼城  vs  切尔西    皇家马德里 vs  皇家社会,0,0,0,2023-12-18 14:57,iPhone客户端,"['https://wx4.sinaimg.cn/large/e5f54de5gy1hkxy68udwvj20ca0cazk9.jpg', 'https://wx1.sinaimg.cn/large/e5f54de5gy1hkxy694k8cj20cb0camxm.jpg', 'https://wx3.sinaimg.cn/large/e5f54de5gy1hkxy69s2uaj20ca0ca3yo.jpg', 'https://wx1.sinaimg.cn/large/e5f54de5gy1hkxy685fanj20ca0caaad.jpg', 'https://wx1.sinaimg.cn/large/e5f54de5gy1hkxy6a7ayhj20cb0ca3zp.jpg', 'https://wx4.sinaimg.cn/large/e5f54de5gy1hkxy69heytj20ca0ca0te.jpg', 'https://wx3.sinaimg.cn/large/e5f54de5gy1hkxy6ahhxfj20ca0c8aa7.jpg', 'https://wx3.sinaimg.cn/large/e5f54de5gy1hkxy6atil2j20cb0c8js3.jpg', 'https://wx1.sinaimg.cn/large/e5f54de5gy1hkxy6b5htkj20ca0c8jru.jpg']",,,湖北
