id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980266797633902,NxG6zw1Vs,5782905782,秋刀鱼也会咻咻咻,王俊凯人海战术就是牛的，看情况应该是每天直播官宣都会抽，小螃蟹多参与有抽奖的微博也多参与，人头多就是可以为所欲为🤭🤭,,,,,204,158,1545,2023-12-18 11:53,王俊凯超话,,,
4980267810821509,NxG8d3rI9,7775199804,凯蟹浪漫之旅,Yes,,,,,0,0,1545,2023-12-18 11:57,王俊凯恭喜发财,,,4980266797633902,新加坡
4979186569581095,Nxe0gEctN,5390049192,四川中粮可口可乐,📣📣📣送亲签！小石榴们速来领取⚡️川小🉑️首次送出@虞书欣Esther亲签福利！生日倒计时三天！气氛必须热起来🔥带#川小可福利时间##川小可祝虞书欣1218生日快乐#关➕转➕评，12月18日截止12:18🎂热转第1️⃣送【虞书欣亲签（款式随机）➕生日版明信片➕立牌➕生日版红包封面】；🎂热转第2️⃣-7️⃣送【生日版明信片➕立牌➕生日版红包封面】🎂热转第8️⃣-1️⃣2️⃣送【生日版明信片➕生日版红包封面】评论区揪12位送【虞书欣人型灯牌】#美汁源品牌代言人虞书欣##虞书欣1218生日快乐##虞书欣1218欣途熠熠#,,,虞书欣Esther,"川小可福利时间,川小可祝虞书欣1218生日快乐,美汁源品牌代言人虞书欣,虞书欣1218生日快乐,虞书欣1218欣途熠熠",391168,1859,1623,2023-12-15 12:20,虞书欣超话,"['https://wx1.sinaimg.cn/large/005SM61ily1hkucse5cbnj32bw1qx4qp.jpg', 'https://wx1.sinaimg.cn/large/005SM61ily1hkucsfen53j31oy299x3k.jpg', 'https://wx2.sinaimg.cn/large/005SM61ily1hkucsh6jp6j32291te1kx.jpg']",,
4980267707533759,NxG82vBSf,7822040565,肖恩突击队6号,yes//@海底藏匿月光-Yu:#川小可福利时间##川小可祝虞书欣1218生日快乐#虞书欣生日快乐,,,海底藏匿月光-Yu,"川小可福利时间,川小可祝虞书欣1218生日快乐",0,0,1623,2023-12-18 11:56,真我GT Neo5 SE,,,4979186569581095,河南
4980266764863030,NxG6wkp5Y,5945400789,你还有脸提什么人民,今天我们欢聚在这里，是为了庆祝我的老公迪丽热巴成功拿下Diorglobalambassadorforfashionandbeauty，成为蓝血顶奢Dior全球范围内最高title拥有者,,,,,6,17,479,2023-12-18 11:53,iPhone 14 Pro,['https://wx4.sinaimg.cn/large/006umil7ly1hkxss5uljsj31jk1jsaka.jpg'],,
4980267691805702,NxG817zKe,7765665381,88号白月光,yes！全球范围内,,,,,0,0,479,2023-12-18 11:56,iPhone 13,,,4980266764863030,江西
4980267531633733,NxG7L6R0x,7438726715,IAM-炸鸡皮,ITZY中转站sw电子专yes24限量版都🐠345,,,,,0,9,0,2023-12-18 11:56,ITZY中转站超话,,,,吉林
4980267112464492,NxG75al7S,6558496691,回忆很空集思念很重,每天对自己说一句：YES！今天做得很好哦。早安！,,,,,0,0,0,2023-12-18 11:54,Note 12 哈利·波特版,"['https://wx1.sinaimg.cn/large/0079QMAHgy1hkxsvv6x6jj309s09s3yb.jpg', 'https://wx1.sinaimg.cn/large/0079QMAHgy1hkxsvxkn6qj309s09saa1.jpg', 'https://wx3.sinaimg.cn/large/0079QMAHgy1hkxsvxzfcjj309s09sdfo.jpg', 'https://wx1.sinaimg.cn/large/0079QMAHgy1hkxsvyvmwyj309s09sa9u.jpg', 'https://wx4.sinaimg.cn/large/0079QMAHgy1hkxsvzl58fj309s09sdfu.jpg', 'https://wx1.sinaimg.cn/large/0079QMAHgy1hkxsvzv8l9j309s09sjr5.jpg', 'https://wx2.sinaimg.cn/large/0079QMAHgy1hkxsw05jhgj309s09sjr5.jpg', 'https://wx1.sinaimg.cn/large/0079QMAHgy1hkxsw0gxjmj309s09sjrc.jpg', 'https://wx4.sinaimg.cn/large/0079QMAHgy1hkxsw0q715j309s09st8h.jpg']",,,重庆
4980266548335635,NxG6ayYtJ,7506379882,南瓜巫师SKY,127号铺子蹲yes24一九,,,,,0,1,0,2023-12-18 11:52,127号铺子超话,,,,广东
4979974816138652,NxyvDpKWw,7858926091,扶摇直上音乐嘉年华,#扶摇直上宠粉计划#12月22日，@王赫野在扶摇直上音乐嘉年华与你相遇！#来吉安扶摇直上和明星合影##微博演出季#王赫野O抽奖详情,,,王赫野,"扶摇直上宠粉计划,来吉安扶摇直上和明星合影,微博演出季",627,306,144,2023-12-17 16:33,iPhone 12 Pro Max,['https://wx1.sinaimg.cn/large/008zRfGrgy1hkwvbht9utj31b91yvnpd.jpg'],,
