id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980804842951241,NxU6ocnKF,5782125798,Katenfe__,#原神4.2版本##原神#雷电将军IG：uosaasou,,,,"原神4.2版本,原神",2,1,47,2023-12-19 23:31,iPhone 14,"['https://wx4.sinaimg.cn/large/006jjd3wgy1hkzinb05wrj30wi14p4cb.jpg', 'https://wx4.sinaimg.cn/large/006jjd3wgy1hkzinaiz8kj30wi0kbtg2.jpg']",,,广东
4980788542046447,NxTG68And,5718573490,梅梅复喵喵-莫名不可用版,光夜囤小熊，等婚卡。。。闪耀暖暖囤钻石，等链子精。。。原神囤原石，等雷电将军。。。崩铁囤星琼，等阮梅。。。,,,,,0,0,0,2023-12-19 22:26,荣耀Magic4,,,,重庆
4980775839340262,NxTlBDbPo,5280235579,动漫推荐官,雷电将军美图#二次元游戏整活##原神#,,,,"二次元游戏整活,原神",0,0,0,2023-12-19 21:36,原神超话,"['https://wx3.sinaimg.cn/large/005LlktZly1hkzfbcsgsxj30u01hi10v.jpg', 'https://wx4.sinaimg.cn/large/005LlktZly1hkzfbd5sevj30u01hiqba.jpg', 'https://wx3.sinaimg.cn/large/005LlktZly1hkzfbdhfqsj30u01hi43z.jpg', 'https://wx4.sinaimg.cn/large/005LlktZly1hkzfbduiyhj30u01hijz7.jpg']",,,江苏
4980766494428012,NxT6xizVy,5857873656,_Blue-flower,给朋友织包包的时候在看原神的音乐会，就觉得，无论原神的风评啊，刻板印象啊，玩家群体什么各种原因，最开始吸引我的本身就是音乐和角色。在朋友那听到了庆云顶的七天神像那里的一首曲子，又看见了雷电将军和八重神子的立绘，就立马去下载了。想到现在，我永远会记得祭礼之舞优菈的舞动，永远会在神女劈观到“唱于诸位听”时忍不住想哭，永远会记得森林书里和兰那罗的合唱。当听到神女劈观掉眼泪被舍友看见问我怎么了的时候，我说“玩儿原神玩儿的”。,,,,,0,0,0,2023-12-19 20:58,Neo5活力版 生而为赢,,,,天津
4980745019590398,NxSxTEeTQ,7795969697,伊萨克你是懂cos的,原神#超话创作官##原神4.2版本攻略##原神4.2版本#大家好我是伊萨克本期给大家带来的是原神T0辅助角色培养攻略分别是:增伤辅助（万叶）（夜兰）/增强奶妈（班尼特）/护盾辅助（钟离）/充能辅助（雷电将军）/草反应辅助（纳西妲）附毕业面板有需要的宝子可自行查阅还是老规矩祝点赞关注的原宝们十连双金一发入魂,,,,"超话创作官,原神4.2版本攻略,原神4.2版本",1,0,7,2023-12-19 19:33,原神超话,"['https://wx3.sinaimg.cn/large/008vB5QJly1hkzbrvs7f2j31401hcqsm.jpg', 'https://wx4.sinaimg.cn/large/008vB5QJly1hkzbrwhijhj31401hc1kx.jpg', 'https://wx4.sinaimg.cn/large/008vB5QJly1hkzbrx8mjrj31401hc4qp.jpg', 'https://wx1.sinaimg.cn/large/008vB5QJly1hkzbrxz54mj31401hc4qp.jpg']",,,黑龙江
4980744566867574,NxSxasOzk,6626389005,注册会员可抢好昵称,原神各位大佬给个意见，现在有260抽是抽雷电将军加专武还是凌华加雷电将军。现在五星只有琴，芙宁娜，白术,,,,,0,13,0,2023-12-19 19:31,原神超话,,,,云南
4980743675840724,NxSvJovre,7509975129,欧包柴柴,#雷电将军压迫感##米哈游审美#米哈游审美差，只会媚宅，古风角色设计成黑丝开叉，不尊重传统文化#原神闲云#,,,,"雷电将军压迫感,米哈游审美,原神闲云",0,1,6,2023-12-19 19:28,Android,,,,福建
4980714481126467,NxRKE4J2P,7766274801,若若不男Z,cosplay#原神##cos##雷电将军#出一下雷电同人L若若不男Z的微博视频,,,,"原神,cos,雷电将军",12,26,312,2023-12-19 17:32,cosplay超话,,"http://f.video.weibocdn.com/o0/U2G8JDAFlx08b4hTSdfO01041200c4Ps0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1703129484&ssig=ZV1A72CN4v&KID=unistore,video",,浙江
4980711559793027,NxRFVF5C3,5782125798,Katenfe__,#原神4.2版本##原神#雷电将军IG：talla_cos,,,,"原神4.2版本,原神",0,0,10,2023-12-19 17:20,iPhone 14,"['https://wx2.sinaimg.cn/large/006jjd3wgy1hkz7xiohzwj30wi14549f.jpg', 'https://wx2.sinaimg.cn/large/006jjd3wgy1hkz7xjjkstj30wi144tnt.jpg', 'https://wx3.sinaimg.cn/large/006jjd3wgy1hkz7xjyza5j30wi14211p.jpg', 'https://wx1.sinaimg.cn/large/006jjd3wgy1hkz7xhj5v8j30kb0vcqcg.jpg']",,,广东
4980678540657096,NxQOG2KWk,7774423329,爱吃柚子的KIKI201310,要不要煮饭婆煮饭给你吃#雷电将军##雷电将军cos##原神雷电将军#,,,,"雷电将军,雷电将军cos,原神 雷电将军",0,3,0,2023-12-19 15:09,iPhone客户端,"['https://wx2.sinaimg.cn/large/008u8GEFgy1hkz44cxl1dj30vp0u00xq.jpg', 'https://wx1.sinaimg.cn/large/008u8GEFgy1hkz44ebverj30u01dhah9.jpg', 'https://wx4.sinaimg.cn/large/008u8GEFgy1hkz44citv4j30u0150gwc.jpg']",,,重庆
