id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980283294093519,NxGxbhaUv,6499745941,宇宙废话大师,梅西#阿根廷世界杯夺冠一周年#wow🎉一年嘞！,,,,阿根廷世界杯夺冠一周年,0,1,2,2023-12-18 12:58,梅西超话,"['https://wx1.sinaimg.cn/large/0075SgPXly1hkxuqibh70j30u0190gpx.jpg', 'https://wx4.sinaimg.cn/large/0075SgPXly1hkxuqinwsoj30xc0m8gvn.jpg']",,,江苏
4980283277053954,NxGx9tB3s,1465160942,锦鲤pisa007,梅西#阿根廷世界杯夺冠一周年#阿根廷世界杯夺冠一周年！时间过得真快！去年今日，梅西率阿根廷队夺得世界杯冠军，加冕球王！！！现在回顾起这一刻，仍然会激动人心！！L锦鲤pisa007的微博视频,,,,阿根廷世界杯夺冠一周年,0,9,18,2023-12-18 12:58,微博视频号,,"http://f.video.weibocdn.com/u0/KE0uZJALgx08b2oel7OU01041200qaHq0E010.mp4?label=mp4_720p&template=720x736.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702997728&ssig=tYUrpTdrIH&KID=unistore,video",,广东
4980283240088770,NxGx60n5M,5491513674,KingMrJohn,梅西世界杯夺冠一周年#阿根廷世界杯夺冠一周年#去年的今天，大家一起看球，一起讨论，时光啊时光曾记否，到中流击水，浪遏飞舟,,,,阿根廷世界杯夺冠一周年,0,0,2,2023-12-18 12:58,荣耀20,,,,山东
4980282909000081,NxGwyBLkB,5403872826,dinfinitec,梅西朋友们有这张原图嘛,,,,,1,2,6,2023-12-18 12:57,梅西超话,['https://wx4.sinaimg.cn/large/005TI6b8ly1hkxup0a8bvj30u011utb1.jpg'],,,云南
4980282585253182,NxGw2m2AK,6616683885,一缕阳光刺到伤,#阿根廷世界杯夺冠一周年#从此以后，想起阿根廷，想起梅西，再也不会用悲情来形容了,,,,阿根廷世界杯夺冠一周年,0,0,0,2023-12-18 12:56,OPPO K7,,,,广东
4980281828442592,NxGuOzqiQ,2342803985,足坛战神,世一卫格瓦尔迪奥尔：“梅西是我童年的偶像，我认为他是100年一遇的人才”其说的是真心话。格瓦尔迪奥尔在卡塔尔世界杯已经领会到了梅西的厉害。世界杯上，梅西来回几次花式突破格瓦尔迪奥尔，协助阿尔瓦雷斯进1球，造就了足坛上神级助攻的世纪名画。,,,,,30,33,43,2023-12-18 12:53,,"['https://wx3.sinaimg.cn/large/8ba45a11gy1hkxukv0r6jj20so0hr0uz.jpg', 'https://wx4.sinaimg.cn/large/8ba45a11gy1hkxukvehihj20so0k6goa.jpg']",,,湖南
4980281815863590,NxGuNoBo2,3991558018,stella_呆呆的,梅西哈哈哈哈这张也太可爱了吧，胖脸小梅,,,,,0,1,8,2023-12-18 12:52,梅西超话,"['https://wx3.sinaimg.cn/large/edea5782ly1hkxuk7usvpj20vx13v13j.jpg', 'https://wx1.sinaimg.cn/large/edea5782ly1hkxuk85fi8j20p110ywkj.jpg']",,,上海
4980281767367038,NxGuIuUvc,5966788050,Fung167,梅西就是我心中的年度竞技超话！2023#超话大赏#和我一起为TA加满热爱2023超话大赏,,,,超话大赏,0,0,0,2023-12-18 12:52,梅西超话,,,,广东
4980268273763578,NxG8XfN4S,5876413080,回到初见的那天,#体育大赏#我已为@梅西LeoMessi10助力，和我一起参与微博年度关注男运动员评选，为TA助力只因热爱！O微博年度关注男运动员,,,梅西LeoMessi10,体育大赏,0,0,0,2023-12-18 11:59,微博体育,,,,四川
4980268165498776,NxG8Mn4tW,2809290847,GiantSnowball,萌兰⚽#萌兰丝滑控球能力惊人#熊梅西~全球最擅长头球控球的前锋梅西金球奖🏆萌兰金头奖🏆,,,,萌兰丝滑控球能力惊人,3,12,64,2023-12-18 11:58,萌兰超话,['https://wx3.sinaimg.cn/large/a772605fly1hkxt0cztrtj20zk0npae2.jpg'],,,北京
