id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980540268871860,NxNdEBdYw,2268574107,五月数码科技,#甘肃地震#记录地震来临的时候，手机预警响起。荣耀手机，华为手机，OPPO手机，VIVO手机给力L五月数码科技的微博视频,,,,甘肃地震,0,1,3,2023-12-19 05:59,微博视频号,,"http://f.video.weibocdn.com/u0/kVM7qsjegx08b3wgcI8w010412008D7p0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1703145227&ssig=BlytGdJr4o&KID=unistore,video",,山东
4980540270444789,NxNdF1RI1,6989924975,酱youni,#甘肃地震#希望大家都平平安安，都要好好的,,,,甘肃地震,2,0,3,2023-12-19 05:59,田嘉瑞的今日营业日记,,,,江西
4980540250521656,NxNdD2bHO,1571129843,璐-幸福路,#甘肃地震#都平平安安的🙏🙏🙏,,,,甘肃地震,0,0,0,2023-12-19 05:59,iPhone 14 Pro Max,,,,吉林
4980540236890687,NxNdBsUA7,7644930889,芝尖悸动,#甘肃地震#好可怕！希望大家都平平安安的,,,,甘肃地震,0,0,3,2023-12-19 05:59,为你写情诗HarmonyOS设备,,,,山东
4980540222472707,NxNdAangn,6062369674,小文恋葵记,#温暖治愈瞬间##甘肃地震#我天呢大家一定保护好自己,,,,"温暖治愈瞬间,甘肃地震",0,0,0,2023-12-19 05:59,HUAWEI P50 Pro,,,,吉林
4980540182888527,NxNdwc7r9,3177420835,六亿-11,#甘肃地震#平平安安,,,,甘肃地震,0,0,0,2023-12-19 05:59,OPPO智能手机,,,,四川
4980540169519477,NxNduDWrX,7726482042,青海新闻联播,【青海地震局召开甘肃积石山“12.18”6.2级地震新闻发布会】#青海#12月19日3时50分，青海省地震局召开甘肃积石山“12.18”6.2级地震第一次新闻发布会，通报了12月18日23时59分，在甘肃省临夏州积石山县附近发生的6.2级地震情况，以及地震在青海内产生的影响。#甘肃积石山6.2级地震#L青海新闻联播的微博视频,,,,"青海,甘肃积石山6.2级地震",0,1,2,2023-12-19 05:59,微博视频号,,"http://f.video.weibocdn.com/u0/Dq5GkW2Kgx08b3wkItGw01041200lP9R0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1703145227&ssig=7uDKEUZH%2Bj&KID=unistore,video",,
4980540133081325,NxNdrcVAN,5854453082,米儿mier_JG,#甘肃地震#发生6.2级地震，震源深度10千米，愿平安！！🙏🙏,,,,甘肃地震,0,1,1,2023-12-19 05:59,今日营业日记,,,,广西
4980540107653209,NxNdow6WR,6494034417,铁哥粉丝互动,#甘肃地震了#愿大家都平安[玫瑰]请做好预防措施喔L铁哥粉丝互动的微博视频,,,,甘肃地震了,2,11,15,2023-12-19 05:59,微博视频号,,"http://f.video.weibocdn.com/u0/PP7RoR71gx08b3wjAr1601041200vx8T0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1703145227&ssig=FDXH6sFrPR&KID=unistore,video",,山西
4980540098478630,NxNdnzzG6,6169784105,黛眉浅淡_-,#甘肃地震#昨晚叮叮当当收到七条地震预警🙈#甘肃地震多地有震感#,,,,"甘肃地震,甘肃地震多地有震感",0,0,1,2023-12-19 05:59,iPhone客户端,['https://wx3.sinaimg.cn/large/006JxMGRgy1hkyo8ba6uaj30wi1yck8y.jpg'],,,山东
4980525119046060,NxMPdBXic,5628135714,大众脸的魏姑娘,#甘肃地震#🙏🙏🙏这么冷的天，他们今天晚上怎么熬啊！一直在揪心，祈祷平安！,,,,甘肃地震,0,0,3,2023-12-19 04:59,小米10,,,,山西
4980525037519282,NxMP5vy6K,6538899356,桃心Luv,啊这大半夜的停电就停灯你不要突然闪一秒又停啊，吓死个人虽然我这没震感。保佑甘肃同胞和救援人员记者们平平安安，天寒地冻希望一切都快点好起来,,,,,0,0,1,2023-12-19 04:59,iPhone客户端,,,,陕西
4980524878397488,NxMOPzezm,6191953567,小云书屋,如何打开手机地震预警功能？#甘肃地震#华为：设置→安全→应急预警通知→地震预警小米：手机管家→家人关怀→地震预警荣耀：设置→安全→应急预警通知→地震预警OPPO/一加/真我：设定→安全→SOS紧急联络→自然灾害警报→地震警报vivo：天气App→设置→地震预警→启用地震预警服务苹果/三星/其它手机：搜索“地震预警”关键词，自行下载相关App,,,,甘肃地震,0,0,0,2023-12-19 04:58,Xiaomi Civi 1S,['https://wx4.sinaimg.cn/large/006L2NYPly1hkymhrenw9j30qy0qyn07.jpg'],,,甘肃
4980524814172438,NxMOJhvro,3120285534,小雪糕gxx,#甘肃地震#祈祷平安🙏,,,,甘肃地震,0,0,0,2023-12-19 04:58,iPhone客户端,,,,河南
4980524802375878,NxMOI9Y4C,7236301058,上岸宝宝LL,#甘肃地震#希望大家都能平平安安,,,,甘肃地震,0,0,0,2023-12-19 04:58,iPhone客户端,,,,山东
4980524760432818,NxMOE1OAW,7784487075,阿狸小猫28647,#甘肃地震监控画面#希望大家众志成城共渡难关！,,,,甘肃地震监控画面,0,0,4,2023-12-19 04:58,vivo X Note,,,,湖北
4980524748374073,NxMOCz8tH,5227292968,政知新媒体,【甘肃临夏地震震区有山体坍塌大河家桥支座发生偏移】12月18日23时59分在甘肃临夏州积石山县（北纬35.70度，东经102.79度）发生6.2级地震，震源深度10千米。截至12月19日3点40分，临夏公路事业发展中心排查发现，G310线大河家桥桥头（青海岸）发生山体坍塌，大河家桥支座发生偏移，该中心正在组织力量对偏移支座进行调整复位，同时青海方面已安排人员、机械设备清理塌方土体。（央视新闻）,,,,,0,0,5,2023-12-19 04:58,微博轻享版,['https://wx1.sinaimg.cn/large/005HLbGUly1hkymh841cej60m80gognq02.jpg'],,,
