id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980447487983984,NxKO0xuZW,7399599324,上海政法学院微校园,#上海交大一二九冬季长跑##一二九冬季长跑上的交大师生们#【一二九冬季长跑】上海交大一二九冬季长跑如期举行，师生们尽显风采，在这寒冷的冬天中，跑出我们心中的热！cr：上海交通大学L上海校园的微博视频,,,,"上海交大一二九冬季长跑,一二九冬季长跑上的交大师生们",0,0,0,2023-12-18 23:51,iPhone客户端,,"http://f.video.weibocdn.com/o0/n47PI2Zslx08b2GXyvjq01041201cDZB0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702950702&ssig=rvoilqozDm&KID=unistore,video",,上海
4980446861467226,NxKN069GW,1892097037,东方财经浦东,【#上海交大安泰：行业研究生态日益形成社会影响力逐步扩大#】“第六届中国行业发展高峰论坛”暨上海交通大学行业研究院五周年系列活动（上海站）日前在沪举行，论坛以“知行合一，智绘未来”为主题，专家学者围绕中国科技进步与产业升级转型间的相互作用展开深入讨论。L东方财经浦东的微博视频,,,,上海交大安泰：行业研究生态日益形成 社会影响力逐步扩大,0,0,0,2023-12-18 23:48,微博视频号,,"http://f.video.weibocdn.com/o0/EzDCrS6Ulx08b36S3FDO01041200xMkx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702950702&ssig=hEydFf8PBc&KID=unistore,video",,
4980439096232627,NxKAtq9of,7566827715,星海天文,IC2177海鸥星云拍摄者：上海交通大学蔡楚晗拍摄地点：智利远程台设备：望远镜：高桥Epsilon-180EDCCD:ZWOASI6200MM-Pro参数：SHO，单通道105*200s时间：2023年12月我们要飞到那遥远地方，看一看，这世界并非那么凄凉，我们要飞到那遥远地方，望一望，这世界还是一片的光亮。天文#星海摄影团##星空摄影##远程天文台#,,智利,,"星海摄影团,星空摄影,远程天文台",0,0,1,2023-12-18 23:17,Xiaomi 13 Ultra,['https://wx2.sinaimg.cn/large/008g5Dyjly1hkycl9isfaj339g2661l8.jpg'],,,上海
4980400529867757,NxJAgFp3n,2593325252,食品科学网,发布了头条文章：《上海交通大学农业与生物学院操义平课题组招聘专职科研人员》O上海交通大学农业与生物学院操义平课题组招聘专职科研人员,http://t.cn/A6liHB1f,,,,0,0,1,2023-12-18 20:44,微博 weibo.com,,,,新加坡
4980396284191199,NxJtqhAjZ,6466370677,悉达多多小葫芦,lz要脱单要脱单要脱单，啊啊啊啊啊啊啊啊啊！！！！！！！！天呐，来个人把我收走吧！！！！,,上海·上海交通大学(闵行校区),,,0,1,2,2023-12-18 20:27,微博网页版,,,,上海
4980393364685760,NxJoIjEYM,6750541675,OSU上海高校守望先锋,【OSU自由组队赛总决赛直播预告！】总决赛日到啦！经历一个月的鏖战，走到决赛的是TeamName（上海交通大学）和上海建桥学院队！他们将在今晚进行FirstTo4的终极大战，本届32支参赛队伍的最强队伍花落谁家，拭目以待！赛程：9:00PMTeamNameVS上海建桥学院官方直播B站搜索：OSU上海高校守望先锋转播直播间：@木子鸽Muzi的B站直播间感谢由@网易UU加速器提供的UU加速器高级会员时长卡奖励，UU加速器为玩家提供了接近国服的游戏延迟，每年还有大学生特惠立省94元！守望先锋#OSU联赛##网易uu加速器##守望先锋#,,,"木子鸽Muzi,网易UU加速器","OSU联赛,网易uu加速器,守望先锋",1,1,1,2023-12-18 20:16,守望先锋超话,,,,上海
4980393164410552,NxJooivnW,1788773071,luobot-,上海交通大学一天80，有需要兼职的同学吗～,,,,,0,0,0,2023-12-18 20:15,上海交通大学超话,,,,陕西
4980385144376397,NxJbsimv3,6221743187,用户6221743187,终于有一个敢说实话真话的经济专家了！上海交通大学金融教授陈欣表示，美国正试图通过培养印度的制造业供应链来替代中国。印度已出台政策，要求在印度生产手机的企业必须聘请印度人担任核心管理层。陈欣教授建议，为防止这种情况，国家应出台系统性政策，限制中国企业帮助印度进行基础设施建设、能源布局建设和出口高精端设备。他强调，我们不能只看到市场的繁荣而忽视潜在的危机，也不能重蹈美国的覆辙。对印度最佳战略就是不允许投资印度，限制关键资源出口，帮助印度搞产业提升就是危害国家安全。美国与印度相隔万里，短期内不会威胁美国霸权地位。但印度与中国接壤，在藏南问题上野心勃勃，一旦印度国家发展强大了，对中国的国家安全就是极大的威胁。,,,,,0,0,0,2023-12-18 19:43,vivo S16,,,,海南
4980364969248187,NxIEUCNSj,6067221170,不可错过的舞台,走进校园，在上海交通大学的一场分享：山顶无止境，征服目标而不是目标征服你。#房琪##治愈##网红#L不可错过的舞台的微博视频,,,,"房琪,治愈,网红",0,0,0,2023-12-18 18:23,微博视频号,,"http://f.video.weibocdn.com/o0/0pU9IM6slx08b2KwIz1K01041200STtt0E010.mp4?label=mp4_720p&template=1024x576.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702950702&ssig=fFdrnhW209&KID=unistore,video",,天津
4980363967070624,NxIDitFok,6348124242,cj剑胆琴心,终于有一个敢说实话真话的经济专家了！上海交通大学金融教授陈欣表示，美国正试图通过培养印度的制造业供应链来替代中国。印度已出台政策，要求在印度生产手机的企业必须聘请印度人担任核心管理层。陈欣教授建议，为防止这种情况，国家应出台系统性政策，限制中国企业帮助印度进行基础设施建设、能源布局建设和出口高精端设备。他强调，我们不能只看到市场的繁荣而忽视潜在的危机，也不能重蹈美国的覆辙。对印度最佳战略就是不允许投资印度，限制关键资源出口，帮助印度搞产业提升就是危害国家安全。美国与印度相隔万里，短期内不会威胁美国霸权地位。但印度与中国接壤，在藏南问题上野心勃勃，一旦印度国家发展强大了，对中国的国家安全就是极大的威胁。,,,,,0,0,1,2023-12-18 18:19,占豪的观点超话,['https://wx4.sinaimg.cn/large/006VC56Gly1hky40gxgp3j305k05kt8w.jpg'],,,江苏
4980360253277717,NxIxjdKGp,1996630484,上海校园,#上海交大一二九冬季长跑##一二九冬季长跑上的交大师生们#【一二九冬季长跑】一起来看看冬季长跑上师生们的风采秀cr：上海交通大学,,,,"上海交大一二九冬季长跑,一二九冬季长跑上的交大师生们",0,0,0,2023-12-18 18:04,一加 Ace 2 王牌兔,"['https://wx3.sinaimg.cn/large/770229d4ly1hky3iq4mn2j20yg0n40yp.jpg', 'https://wx4.sinaimg.cn/large/770229d4ly1hky3iqs9kzj20yg0moqa0.jpg', 'https://wx4.sinaimg.cn/large/770229d4ly1hky3ir7ihsj20yg0nadmc.jpg', 'https://wx3.sinaimg.cn/large/770229d4ly1hky3irlje6j20yg0mwq8l.jpg', 'https://wx1.sinaimg.cn/large/770229d4ly1hky3is64l5j20yg0n0q7c.jpg', 'https://wx3.sinaimg.cn/large/770229d4ly1hky3isim79j20yg0ni43x.jpg']",,,
4980359471564354,NxIw36yXw,2361694997,歷史阿牛,『【招贤纳士】|上海交通大学上海交大-南加州大学文化创意产业学院2024年度博士后公开招聘』https://mp.weixin.qq.com/s?__biz=MzAxOTU4NDMwNg==&mid=2651290764&idx=1&sn=b58f597b8a44250601fbfa1bc42a4aea&chksm=803718d1b74091c7d26353b7f5d64a1587ec3b5fa3722a6ce8a7b2efb7dff5fa1a2be3eb4265&mpshare=1&srcid=121852VjfG6tQY67AUM681ZU&sharer_shareinfo=bfc18cbe66257b670f6e327fd1556737&sharer_shareinfo_first=c87e9f49c5ed7d3788e909c66c4a278e&from=timeline&scene=2&subscene=2&clicktime=1702893594&enterid=1702893594&sessionid=0&ascene=2&fasttmpl_type=0&fasttmpl_fullversion=6992830-zh_CN-zip&fasttmpl_flag=0&realreporttime=1702893594850&devicetype=android-31&version=28002c37&nettype=WIFI&lang=zh_CN&countrycode=CN&exportkey=n_ChQIAhIQm4waqKRk9Mj9TiqxW0%2BmXhLaAQIE97dBBAEAAAAAAEiOK4CshnoAAAAOpnltbLcz9gKNyK89dVj0ctMQPwiA%2FXF4SF90Ggu8ZdWwYv2bxqWb2b0oNfatSXvHLhJ4ahB1b0VTUXER4dFpL3uLR%2FNt9HJu5AFSX7En62CzVqwHTJ4j80w2FBzs2D%2FzQfpm0b6CqkjnQoDX5EjxqXUObLSG51281TjTQF8vU7bCMTJjFgWPYim0FdnrFFhgGuRfHBBET3xBPG8W64JLJDUD0PHe0%2Fe8ZwM025suMn4lOiJtaQG1Ct28Wg6RqYXAoQa%2B&pass_ticket=Z34OwE3UIxGakPKq%2FKIMas5Mxd755qI6zSqaw4Njd%2BRlXpsy9M0%2Fnt0EfFxqapUP%2FYLU7Y1GtSvvOH98g%2Fw%2BVw%3D%3D&wx_header=3,,,,,0,0,1,2023-12-18 18:01,华为Mate40保时捷设计,,,,上海
4980352082772006,NxIk8bD7M,1996630484,上海校园,#上海交大一二九冬季长跑##一二九冬季长跑上的交大师生们#【一二九冬季长跑】上海交大一二九冬季长跑如期举行，师生们尽显风采，在这寒冷的冬天中，跑出我们心中的热！cr：上海交通大学L上海校园的微博视频,,,,"上海交大一二九冬季长跑,一二九冬季长跑上的交大师生们",6,6,27,2023-12-18 17:32,微博视频号,,"http://f.video.weibocdn.com/o0/n47PI2Zslx08b2GXyvjq01041201cDZB0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702950720&ssig=15Rjx3ErPv&KID=unistore,video",,
