id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4979738970162335,Nxsnf0Gej,5880140573,快乐贩售星,看着每天掉的头发这么多，想不熬夜，想规律生活，但是生活中事太多，我就越不想学习，越不想写，越想疯狂熬夜。哎，不熬了真的不熬了,,,,,0,1,0,2023-12-17 00:55,荣耀 9X,,,,河北
4979738206798900,Nxsm0swHG,6321964064,噩梦妄想家,不知道自己是不是生病了，还是单纯成长所致兴趣减退。没有喜欢的爱好，对什么娱乐都不太敢兴趣，玩也是玩但没有很大的愉悦感，不想学习，该做的事情也都在拖延，偶尔跟人倾诉，但大部分孤独并不想交流，以恶意揣测她人，背后吐槽也不知道是不是说坏话，自我厌恶，大部分时候周围的饭很难吃，少部分好吃，但好吃也吃不下去太多，食欲下降，刚才耳朵在沉默的轰鸣，每晚都有相应的梦，昨天在梦里大哭到喘不上气，睡醒还是没有精力，一切都令人厌烦，杀死空余时间但没有意义。,,,,,0,0,0,2023-12-17 00:52,Android,,,,河南
4979736736432140,NxsjDqZic,6657245484,不想上学阿阿阿,我破防了我不想学习了我头好疼我真的不想学数学,,,,,0,0,1,2023-12-17 00:46,微博轻享版,,,,辽宁
4979736572860644,Nxsjnc0bq,7838635615,为笨蛋争口气_Doris,上周日考完教资之后，就开始报复性地玩，还越来越上瘾，没这么颓废过，根本不想学习,,,,,0,0,0,2023-12-17 00:46,nova8 我由我掌镜,,,,河南
4979736537203545,NxsjjudYd,5891970817,v维生素b2_,自从北京市考考完，最近一直很懈怠，老是不想学习啊啊啊📑，怎么办呀，老想去元气汤泉玩！想去吃海底捞，吃米村拌饭！啊啊啊啊啊发疯了,,沈阳,,,0,0,0,2023-12-17 00:46,iPhone客户端,"['https://wx3.sinaimg.cn/large/006qK6Lnly1hkw3ybj1w0j30u00u0gwh.jpg', 'https://wx1.sinaimg.cn/large/006qK6Lnly1hkw3ybzp61j30u00rodjb.jpg']",,,辽宁
4979734515810821,Nxsg3onEV,6600923123,小刘的叽叽咕咕,🥶冷死了发疯一下：不想学习不想读书好了要睡觉了明天早起学习,,,,,0,0,0,2023-12-17 00:38,iPhone 13,,,,广东
4979733052000750,NxsdH8oua,6055047162,快乐存故里,我是不是越来越懒了，总是不想工作，不想学习就躺平。出门上班就开始有怨气，上班路上开始各种不适，到了公司就头疼心浮气躁静不下心好好学习好好工作,,,,,0,0,0,2023-12-17 00:32,nova7SE 5G你在焦点在,,,,广东
4979730767938719,Nxsa0xjdR,7469246319,WoYI0,今天真的好冷，但是也是真的很开心！早上原本打算去主楼自习的，然后天太冷了，就没有去，在寝室根本不想学习，然后玩了一早上的手机，所以还是得去主楼学习的。中午睡了一会儿，想去农民街买板栗，可是板栗的团购券没有了，我是多的钱一点也不想花，毕竟过几天又会出来，我也不着急今天吃，哈哈哈YLS竟然在闲鱼上买了板栗团购券哈哈哈鬼知道我们到底有多喜欢吃板栗，可是她们一会儿都有跆拳道考试，没人陪我去，立马给我姚姐发个消息，问都不问我去哪儿，直接说行！我真的简直不要太爱了，最后我们两个人跑去盐渎公园吹冷风，司机师傅都不理解，为什么要去那边，公园冬天的风景，也超漂亮。最后去吃了火锅，只能说一点辣椒味道都没有，调料也很少，味道一般般，不怎么推荐，但是他家的饮料每一个都好好喝，玫瑰荔枝是我的最爱，芭乐也好喝，建议开个饮料分店！,,,,,0,0,0,2023-12-17 00:23,iPhone客户端,"['https://wx3.sinaimg.cn/large/0089ucaPly1hkw2sqxsvij30u0140k3b.jpg', 'https://wx3.sinaimg.cn/large/0089ucaPly1hkw2ssip7pj32c0340e82.jpg', 'https://wx2.sinaimg.cn/large/0089ucaPly1hkw2why388j30u014016c.jpg', 'https://wx1.sinaimg.cn/large/0089ucaPly1hkw2sxb17aj32c03401kz.jpg', 'https://wx3.sinaimg.cn/large/0089ucaPly1hkw2su4lkhj32c0340kjn.jpg', 'https://wx4.sinaimg.cn/large/0089ucaPly1hkw2svtml9j32c02c07wj.jpg', 'https://wx4.sinaimg.cn/large/0089ucaPly1hkw2sznv5ij32c03404qq.jpg', 'https://wx2.sinaimg.cn/large/0089ucaPly1hkw2tt38mmj30tu0tun9t.jpg', 'https://wx1.sinaimg.cn/large/0089ucaPly1hkw3a9qeiuj31sz0u0tlq.jpg']",,,江苏
4979730435018725,Nxs9tl3Bb,7342321068,万颂伊x,特别特别特别特别特别不想学习搞对象上瘾了,,,,,0,0,0,2023-12-17 00:21,iPhone客户端,,,,河北
4979729459315902,Nxs7TD5uu,7415226514,噼哩啪啦啦_,不想学习不想早起不想背单词不想写论文不想收拾桌子不想晒衣服不想洗袜子不想晒太阳不想拿快递不想回消息不想回答问题不想排队不想,,,,,0,0,3,2023-12-17 00:18,,,,,海南
