id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980313773834753,NxHklg5AR,2082796430,提瓦特一级腹肌品鉴师,原神#原神4.2版本#林尼画师：Lansecha*画师授权转载,,,,原神4.2版本,0,0,5,2023-12-18 14:59,原神超话,['https://wx3.sinaimg.cn/large/7c24f38egy1hkxy2q10fej217i1kwtnw.jpg'],,,四川
4980313715640981,NxHkfnFtz,6895990377,熊七好可爱,原神有没有想打大伟丘的，找到之后等你一起打,,,,,0,4,0,2023-12-18 14:59,原神超话,,,,吉林
4980313700959858,NxHke41HA,2934026933,妖九_shun,原神交易摆摊啦～原官服/国际服，崩铁官服，详细见主页置顶全程b/抖直播录屏，支持任何方式登录体委100/月，普托160/月，全托270/月钓鱼本体/鱼竿20/把，满精水管60，鱼叉/竭泽70狗粮10/圈，掉落物0.1/0.3/0.5或25/圈专栏·妖九的信誉图（100+）,,,,,0,0,0,2023-12-18 14:59,原神交易超话,,,,四川
4980313696766522,NxHkdsohs,6001866684,溯水行舟梦太晚,原神有没有v小群啊卡成年的最好太久没和人聊天了巨想找人唠嗑儿一对一的搭子也可以,,,,,0,10,1,2023-12-18 14:59,原神超话,,,,浙江
4980313678152013,NxHkbycI5,2934026933,妖九_shun,原神代肝摆摊啦～原官服/国际服，崩铁官服，详细见主页置顶全程b/抖直播录屏，支持任何方式登录体委100/月，普托160/月，全托270/月钓鱼本体/鱼竿20/把，满精水管60，鱼叉/竭泽70狗粮10/圈，掉落物0.1/0.3/0.5或25/圈专栏·妖九的信誉图（100+）,,,,,0,0,0,2023-12-18 14:59,原神代肝超话,,,,四川
4980313614715785,NxHk5jMN3,6091760797,甜妹爱喝杨枝甘露,原神午好,,,,,0,0,1,2023-12-18 14:59,原神超话,"['https://wx1.sinaimg.cn/large/006Egpgply1hkxy7qf39sj31t00u00yi.jpg', 'https://wx3.sinaimg.cn/large/006Egpgply1hkxy7qxda4j31t00u0wn4.jpg']",,,甘肃
4980313527157948,NxHjWu26M,6326678205,YIBO的猫头85,原神有没有闲着无聊的旅行者试试我这两个队能不能十二层满星前两间一把过，但是第三间打了无数次都差一颗，上半基本上要打到8分35，下半冰风组曲一分半根本就过不了（能直播扫码就更好了,,,,,0,8,2,2023-12-18 14:58,原神超话,['https://wx1.sinaimg.cn/large/006Ua60Rly1hkxy25jvb0j30ob0eoadg.jpg'],,,江苏
4980313521917148,NxHjW82JK,6716996505,空天有霜万里卷清云_,原神代肝新版本武器活动和仙灵活动报价,,,,,0,122,6,2023-12-18 14:58,原神代肝超话,,,,陕西
4980313296732323,NxHjzsfnR,3743621915,你的大川同学,原生这次是真的启动了！#米哈游官宣启动鸿蒙原生应用开发#，对于众多游戏爱好者来说绝对是好事情，像原神、崩铁、未定事件簿、崩3、崩2等众多游戏都将适配鸿蒙原生系统，再加上之前网易游戏也官宣进行适配，现如今三家游戏具有可就差腾讯三缺一了！#原神崩铁启动鸿蒙原生适配#HarmonyOSNEXT原生系统的意义非凡，不仅代表着鸿蒙系统从底层的重新构建，而且也是众多移动应用的适配革新，能让众多游戏厂商进行适配有两方面原因，一是华为生态体量巨大，用户基数大，游戏厂商跟进适配是绕不开的，另一方面，华为凭借原生应用具有更好的性能调教，带来更好的游戏体验。华为和应用厂商互相成就，国内手机厂商目前可能也就华为能做到了！,,,,"米哈游官宣启动鸿蒙原生应用开发,原神崩铁启动鸿蒙原生适配",1,30,55,2023-12-18 14:58,微博  weibo.com,"['https://wx3.sinaimg.cn/large/6d3b69f7ly8hkxxeovndbj20qo0zktgd.jpg', 'https://wx3.sinaimg.cn/large/6d3b69f7ly8hkxxeqmahjj20sg0je0w9.jpg', 'https://wx3.sinaimg.cn/large/6d3b69f7ly8hkxxesd5eej20pu0sgjv1.jpg']",,,山东
4980298691906668,NxGW1800I,1931694762,初兽猫cos,#初兽猫预售#原神旅行者荧cosplay服装s码售空，新一轮的预售开放！尺码已经加上了！要预约的宝子快上车#原神#原神#荧##原神荧#荧,,,,"初兽猫预售,原神,荧,原神荧",0,0,2,2023-12-18 14:00,HUAWEI P30 Pro,['https://wx3.sinaimg.cn/large/732352aagy1hkwvx606qmj20ku0rsk6w.jpg'],,,福建
4980313291230366,NxHjz5a4C,5213419891,果仁儿科技,#原神崩铁启动鸿蒙原生适配#鸿蒙原生应用开始遍地开花了，从餐饮巨头到互联网厂和游戏厂商都在积极的拥抱鸿蒙，前些天刚说完网易游戏的全面鸿蒙化，紧接着米哈游也宣布将基于HarmonyOSNEXT启动鸿蒙原生应用开发了，看起来《原神》和《崩坏：星穹铁道》等米哈游的游戏在鸿蒙设备上将会体验到“无与伦比”的流畅了。作为国内的游戏头部厂商，米哈游和网易的入局是有带动作用的，慢慢的其他的一些游戏厂商应该也会逐步启动鸿蒙计划，那么问题来了，作为国内第一的腾讯是不是也快了呢？我们一起拭目以待，期待一下《王者荣耀》的鸿蒙服。#米哈游官宣启动鸿蒙原生应用开发#！,,,,"原神崩铁启动鸿蒙原生适配,米哈游官宣启动鸿蒙原生应用开发",96,283,428,2023-12-18 14:58,微博  weibo.com,['https://wx2.sinaimg.cn/large/6d3b69f7ly8hkxxfs21flj20sq0ed40i.jpg'],,,广东
4980298651798668,NxGVX7xUM,6587717377,张佳ZHJ,原神#原神三星堆##原神4.2版本##超话创作官#选钟离真是太对了钟离如果去博物馆，年纪最大的应该就是他自己,,,,"原神三星堆,原神4.2版本,超话创作官",4,29,296,2023-12-18 13:59,原神超话,"['https://wx3.sinaimg.cn/large/007bPoe5gy1hkxwdkzbhmj30ns0deq4q.jpg', 'https://wx4.sinaimg.cn/large/007bPoe5gy1hkxwdlbuwdj31uo0u0n26.jpg', 'https://wx3.sinaimg.cn/large/007bPoe5gy1hkxwdlt85uj30re0fh76b.jpg', 'https://wx4.sinaimg.cn/large/007bPoe5gy1hkxwdm5a44j30re0fa76i.jpg', 'https://wx3.sinaimg.cn/large/007bPoe5gy1hkxwdmi5x5j30nr0dggn3.jpg', 'https://wx3.sinaimg.cn/large/007bPoe5gy1hkxwdmu6h0j30o00dfabd.jpg']",,,上海
4980298486122726,NxGVGpGNE,1882303890,病友老六说,#原神钟离三星堆#hhhhh这个图笑死我了#原神钟离##原神三星堆#,,,,"原神钟离 三星堆,原神钟离,原神三星堆",0,0,10,2023-12-18 13:59,微博网页版,['https://wx2.sinaimg.cn/large/7031ad92ly1hkxwhkcez3j20g30g6tcg.jpg'],,,天津
4980298464888573,NxGVEkvJX,6403698433,一只懿了,原神交易0.5/个都报8r你报7r恶心人是吧,,,,,0,1,0,2023-12-18 13:59,原神交易超话,,,,湖南
4980298363700095,NxGVufwyX,7751356044,蜂批柠,灰原哀就是我的神！我已为TA投入一份热爱2023#超话大赏#一起为你心中的年度角色超话加满热爱吧！>2023超话大赏#黑铁的鱼影#,,,,"超话大赏,黑铁的鱼影",0,1,1,2023-12-18 13:58,灰原哀超话,,,,河南
4980298313632453,NxGVpfeXX,6608135938,千i-,原神卖号出58级死邮，只能换绑电话号码,,,,,0,0,0,2023-12-18 13:58,原神卖号超话,"['https://wx3.sinaimg.cn/large/007dd41Igy1hkxwg3r57aj30u01ucwqp.jpg', 'https://wx3.sinaimg.cn/large/007dd41Igy1hkxwg4shgij30u01ucdr1.jpg', 'https://wx2.sinaimg.cn/large/007dd41Igy1hkxwg5od0wj30u053rwzm.jpg', 'https://wx1.sinaimg.cn/large/007dd41Igy1hkxwg70137j31uc0u04ar.jpg', 'https://wx3.sinaimg.cn/large/007dd41Igy1hkxwg8zw3hj31uc0u0dqp.jpg', 'https://wx2.sinaimg.cn/large/007dd41Igy1hkxwgadl5yj31uc0u0nc4.jpg', 'https://wx4.sinaimg.cn/large/007dd41Igy1hkxwgbbgkmj31uc0u0134.jpg']",,,广东
4980298284011923,NxGVmgPGr,5607521143,八重是我女朋友_,#原神三星堆#啊？？只有一个摆件？？,,,,原神三星堆,0,0,3,2023-12-18 13:58,nova7你在焦点在,,,,吉林
4980298240754208,NxGVi3acE,7818579823,七圣真菌,原神#原神钟离三星堆##原神4.2版本#听说有活动家具免费送？,,,,"原神钟离 三星堆,原神4.2版本",0,0,3,2023-12-18 13:58,原神超话,['https://wx2.sinaimg.cn/large/008x7XMbgy1hkxwgdz3dhj30i70fmgri.jpg'],,,四川
4980298212705602,NxGVfblQK,6309893141,穿着马甲的王子,原神这个咋用啊,,,,,0,4,1,2023-12-18 13:58,原神超话,['https://wx3.sinaimg.cn/large/006T1Fs1ly1hkxwglts1sj31yc0winpd.jpg'],,,天津
4980298196190576,NxGVdpYs0,5821322143,混野区的体育生,#原神#原神#原神三星堆#文化宣传原神一直在线，就这这这段据说是我钟离梦境的，好像有声儿童绘本啊！没想到你是这样的说书人，有小朋友在听，你不要乱编故事哦……咳咳，扯远了，我的皮肤呢！！！你不会是借此机会告诉我做梦比较快？L混野区的体育生的微博视频,,,,"原神,原神三星堆",0,0,1,2023-12-18 13:58,微博视频号,,"http://f.video.weibocdn.com/o0/rVOljtIulx08b2sbn84g01041200QGV90E010.mp4?label=mp4_720p&template=1576x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702951075&ssig=6D2J3N7ynw&KID=unistore,video",,四川
4980268492653462,NxG9jb8hM,6593199887,原神,原神#原神##那维莱特##生日快乐#「你已经读过这篇专访了？你觉得写得怎么样？「画片上的美露莘很可爱？嗯…确实拍得不错。「但在这之前…」「…放好了吗？我们赶紧，快藏桌子底下！」「啊，那维莱特大人好像看过来了！」==========关注@原神并转发@一位好友，我们将通过@微博抽奖平台随机抽选10位旅行者赠送【原神角色立牌（随机款）】1份。本次活动将于12月25日14:00开奖，请关注官方消息。请旅行者于开奖后5日内提交获奖信息（逾期视为自动放弃奖励）。,,,"原神,微博抽奖平台","原神,那维莱特,生日快乐",7311,2589,13804,2023-12-18 12:00,原神超话,['https://wx2.sinaimg.cn/large/007ccotFgy1hkxrjnxlqoj31xg1xg4qs.jpg'],,,上海
4980268396708137,NxG99s95L,7138119829,站在夏天的风里,原神#原神4.2版本##那维莱特#【生日快乐，那维莱特】X：sha_ron_y☀️作品已授权，未经允许请勿转载,,,,"原神4.2版本,那维莱特",0,1,14,2023-12-18 11:59,原神超话,['https://wx3.sinaimg.cn/large/007N4P2Zly1hkxt19dlbjj31ka1kwk9k.jpg'],,,黑龙江
4980268362893667,NxG96c8M3,3682156361,夏司,七天神像：你去卖血啦？#原神##游戏大赏##定义我的专属高光#,,,,"原神,游戏大赏,定义我的专属高光",200,202,1207,2023-12-18 11:59,原神超话,['https://wx1.sinaimg.cn/large/db793f49ly1hkxt16gpf9j20u00u0djx.jpg'],,,吉林
4980268339565977,NxG93E8xX,6479136832,纯纯桑的大宝贝,#和公子手环的第一张合照期待那么久，终于等到小米×原神活动线下打卡啦！12.12-12.18，欢迎伙伴们都来小米之家济南高新万达店，和公子手环合照呦！,,,,,0,0,0,2023-12-18 11:59,iPhone客户端,['https://wx3.sinaimg.cn/large/0074tNsYgy1hkxt140mnnj30u01407bk.jpg'],,,山东
4980268219763668,NxG8REXYw,7834559592,等一个秋天离开,原神交易,,,,,0,0,0,2023-12-18 11:58,原神交易超话,['https://wx1.sinaimg.cn/large/008yd0Qoly1hkxt0lxggij30u0100dmb.jpg'],,,河南
4980268186468465,NxG8Or8K5,7834559592,等一个秋天离开,原神交易3200,,,,,0,0,0,2023-12-18 11:58,原神交易超话,['https://wx4.sinaimg.cn/large/008yd0Qoly1hkxt0g4e3ij30u00y4dls.jpg'],,,河南
4980268149244991,NxG8KCN2L,7496486903,目标是成为筋肉女,原神魈2023#超话大赏#主打一个热爱！我pick的原神魈入选年度影视啦快来一起为TA增加热爱值吧！2023超话大赏,,,,超话大赏,0,0,0,2023-12-18 11:58,原神魈超话,,,,江苏
4980268048583690,NxG8AA10C,2104434752,天涯棋客,原神我在这边宣群。你们没事评论一下，要不然像这样公开处刑我真的😭,,,,,0,9,1,2023-12-18 11:58,原神超话,['https://wx3.sinaimg.cn/large/7d6f2040ly1hkxsztf67vj20xc2267cs.jpg'],,,河南
4980267909122721,NxG8mCheF,7256920722,是黄可恶,原神久歧忍的关键命座，那自然是…？#原神4.2版本##原神4.2版本攻略#L是黄可恶的微博视频,,,,"原神4.2版本,原神4.2版本攻略",1,1,3,2023-12-18 11:57,原神超话,,"http://f.video.weibocdn.com/u0/AYoZ5JsNgx08b2k2kl9601041200nLg90E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702951100&ssig=7eZkFJlemh&KID=unistore,video",,广西
4980253393160688,NxFKXdgeQ,6587689498,游戏小柒,第一间到底用什么打#原神#,,,,原神,0,0,0,2023-12-18 11:00,,['https://wx1.sinaimg.cn/large/007bPgYqgy1hkwonyrpbgj30u0140gsn.jpg'],,,四川
4980253330244191,NxFKR11wz,3805143185,王预安,"#微博个性图标#我正在使用""原神-华夜光焰""会员专属个性图标，快来查看我的心动定制！个性微博图标随心任选，快来pick你的心动选择～#微博会员有特权#O个性图标：原神-华夜光焰",,,,"微博个性图标,微博会员有特权",0,0,1,2023-12-18 10:59,微博会员中心,,,,辽宁
4980253288300642,NxFKMyPnk,7784713701,暗夜影零,#原神##原神4.2#《原神》4.2版本「罪人舞步旋」现已上线。和我一起参与中心活动，抽游戏礼包吧！O游戏福利中心,,,,"原神,原神4.2",0,0,0,2023-12-18 10:59,vivo Y5s 闪充强续航,,,,湖南
4980253218833845,NxFKFB45n,7491538559,糊涂小川Ari,原神刚创的🛰️小群纳新哦🍅：群里目前只有20人计划不会超过50人哦🍅：群里都是社畜和大学生所以婉拒未成年啦～🍅：小群氛围嘎嘎好主打一个进群就融入发疯（bushi）因为都是成年人所以话题聊的开但是🈲拉踩角色贴脸晒欧发现了直接✈️不服可以比比rap🍅：来了群里就是一家人别的啥也不说有事就群里吱一声有时间都会来帮忙没事大家上班上学的时候摸鱼就来群里水水群所以卡活跃的进群一天不说话直接✈️🍅：有想法的直接评论或者私信我吧,,,,,0,9,2,2023-12-18 10:59,原神超话,,,,湖南
4980253216999534,NxFKFtmTI,5613229972,临渊不羡鱼x_,原神交易摆摊～全能代代，V：qingxian970，已接千单，两年老代无差评，效率高可直播价格表指路➡️◇开图/委托/体力/任务/鱼叉/水管◇精托/全托/深渊/探索度/活动◇看号/陪玩/神瞳/成就/升级/七圣召唤等什么都接，业务广泛，可存单卿羡の信誉图（已接千单）,,,,,0,0,0,2023-12-18 10:59,原神交易超话,,,,江西
4980253204157060,NxFKEhrrm,6076407192,王旭峰丶,好耶，是大冒险！一起来玩《原神》吧！,,,,,0,0,0,2023-12-18 10:59,原神,['https://wx1.sinaimg.cn/large/006DdZ5Cly1hkxrai23hkj318g0k0q8q.jpg'],,,陕西
4980253185283453,NxFKCmasZ,5613229972,临渊不羡鱼x_,原神代肝摆摊～全能代代，V：qingxian970，已接千单，两年老代无差评，效率高可直播价格表指路➡️◇开图/委托/体力/任务/鱼叉/水管◇精托/全托/深渊/探索度/活动◇看号/陪玩/神瞳/成就/升级/七圣召唤等什么都接，业务广泛，可存单卿羡の信誉图（已接千单）,,,,,0,0,0,2023-12-18 10:59,原神代肝超话,,,,江西
4980252998108887,NxFKjy1uv,6131067577,小心我魈你嗷,原神魈想问一下各位有没有知道这个娃是哪家啊，在一个群里看到的，感觉好可爱,,,,,0,4,4,2023-12-18 10:58,原神魈超话,['https://wx1.sinaimg.cn/large/006GVkKJgy1hkxr94m6qtj30u00yr76l.jpg'],,,河南
4980238293403850,NxFmBehuO,6587689498,游戏小柒,算得上毕业吗#原神#,,,,原神,0,2,1,2023-12-18 10:00,,['https://wx3.sinaimg.cn/large/007bPgYqgy1hkwonk5cp8j30u01sx482.jpg'],,,四川
4980252944370406,NxFKeikWq,7836760574,佐仓杏子杏子杏子酱,原神代肝蹲蹲,,,,,0,0,0,2023-12-18 10:58,原神代肝超话,['https://wx3.sinaimg.cn/large/008ymfq6gy1hkxr9fwsqxj30u01lswoo.jpg'],,,贵州
