id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980446927259978,NxKN6usEq,3229292354,自学提升,发布了头条文章：《2024年复旦大学考研复试考什么？该怎么准备？》复旦大学考研考研#2024考研#2024考研考研复试O2024年复旦大学考研复试考什么？该怎么准备？,http://t.cn/A6liD9kx,,,2024考研,0,0,0,2023-12-18 23:49,微博 weibo.com,,,,福建
4980439028863848,NxKAmBbTi,5607297366,5607297366_616,#杨紫澳门飞上海#复旦大学肝外科博士，上海东方医院戴陈新公园猥亵qj大一新生什,,,,杨紫澳门飞上海,0,0,0,2023-12-18 23:17,HarmonyOS设备,,,,上海
4980438999503938,NxKAjDSpk,5607297366,5607297366_616,#舌头和胃对了一整夜的账#复旦大学肝外科博士，上海东方医院戴陈新公园猥亵qj大一新生什,,,,舌头和胃对了一整夜的账,0,0,0,2023-12-18 23:17,HarmonyOS设备,,,,上海
4980424988429369,NxKdIzmRz,6663034714,面上有灰笑满腮,《“我有辱复旦门楣！”近200份简历只有滴滴给了机会，服张雪峰了》清北复交，从这个简称里，就能清楚复旦大学的地位。每年，复旦大学招收的学生，历史类方向要前50的位次，物理方向也要前200名。O网页链接天下万民尽憔悴！无明历程里所有的人都无真正的富贵荣华和福寿，无论是封候拜相还是富可敌国，无论是和珅还是胡雪岩，最后都在无明洪流里湮灭。人类的真富贵真福真寿，是在无尔无我无城无府的大同神世纪里才有，人逢木兔方为寿。,,,,,1,1,18,2023-12-18 22:21,百度App,['https://wx2.sinaimg.cn/large/007gVpHQgy1hkyavmvkttj308o05sq3a.jpg'],,,湖南
4980424861025136,NxKdw4iGs,5516193996,上海抗癌陪诊小战士,郴州市罗小特乳腺科配药顺丰已飞～瑞安市陈大姐双靶预约～复旦大学附属肿瘤医院#癌症超话#乳腺癌,,,,癌症超话,0,0,0,2023-12-18 22:21,iPhone客户端,['https://wx4.sinaimg.cn/large/0061jo2Uly1hkyawqe3klj33402c0x6q.jpg'],,,上海
4980423067437035,NxKaCvcIb,2570259492,复旦发展研究院,【预告|上海老城厢的历史形态学解读】活动将于2023年12月20日（周三）9:00-11:00、复旦大学智库楼402举行。详情请见：O网页链接,,,,,0,0,0,2023-12-18 22:14,微博网页版,['https://wx2.sinaimg.cn/large/99330c24gy1hkyast88cnj20qo1601ky.jpg'],,,西藏
4980420900293449,NxK781el3,7467401202,姜姜旅馆,复旦大学考研有偿辅导复旦社会学最后两道大题答题技巧。本人专业课两门高分上岸，已有2年辅导经验且有辅导上岸经验！临考最后一周冲刺必备！,,,,,0,0,0,2023-12-18 22:05,复旦大学考研超话,,,,法国
4980420353463468,NxK6fex0o,7467401202,姜姜旅馆,复旦大学考研复旦社会学专业课有偿辅导答题技巧！还在纠结论述题怎么答？研究方法题还是不知道从何下手？临考最后一周冲刺！已辅导多位同学，有辅导上岸经验,,,,,0,1,0,2023-12-18 22:03,复旦大学考研超话,,,,法国
4980415176121667,NxJXTpGwz,1663357524,祝雁军,道教的师傅说：“觉受”。我今天在网上找到了觉受一词的公众解释，才了其义。学术界都是依经而阐释，如西方哲学追随者，余平说的，只要你说的有道理来，就行，但这个道理，是依经而解释，他们说的，继往世之绝学，另一朋友诘问我，余平是五四哪个大师的后学弟子？我只能回答，余平是复旦大学哲学系毕业的，谱系在复旦大学@邵艺辉@prajnaparamita6@诗人潘婷@温儒敏@古天乐@成龙@西藏昌都人韩红@周国平@卢麒元,,,"邵艺辉,prajnaparamita6,诗人潘婷,温儒敏,古天乐,成龙,西藏昌都人韩红,周国平,卢麒元",,0,0,0,2023-12-18 21:42,Android客户端,,,,四川
4980413913634113,NxJVRffoJ,3567412270,抚州临川发布,【49具遗骸被发掘出土，背后故事让人心痛！】今年9月，复旦大学科技考古研究院通过DNA鉴定、颅面复原等手段，复原了40余名山西吕梁无名烈士的容颜。其中，编号为“M19”的烈士终于找到了亲人，确认名字为崔海治。这些烈士生前经历了什么？考古队是如何复原烈士容貌的？复旦大学科技考古研究院文少卿团队接受总台记者采访，详述背后的故事。O49具遗骸被发掘出土，背后故事让人心痛！,,,,,0,0,0,2023-12-18 21:37,iPhone 13,,,,
